ID,Name,Origin,Width,Length,Thickness,Material,Type,Electrical
1,Bottom_Metal,"0,0",44,44,0.3,copper,p,G
2,Ceramic1,"0,0",44,44,0.635,Al_N,p,D
3,I1,"0,0",44,44,0.3,copper,p,S
4,C1,,44,44,0.18,None,a,C
