Layout_ID,Inductance,Max_Temperature
0,98.4594067948314,330.0920049787379
1,45.3704932607588,360.61903853857734
2,49.62072655456411,332.27685794850294
3,73.49383326166378,358.69576408392913
4,134.70990538735575,326.96656428252743
5,29.450354187165683,337.8340462519083
6,85.73223224183091,336.10151185242
7,91.31546067138592,328.85144847004113
8,80.53678532513447,368.586346331134
9,113.27161678571606,331.1243930479153
10,80.99736597714839,326.31761794479326
11,82.10115272949633,356.87023412468943
12,40.53625501980815,334.19402301387004
13,57.07841195958377,331.8755940575039
14,94.45055715265795,326.87731622928067
15,49.126124168870085,330.98650039495277
16,96.06077725718802,329.1447045471355
17,29.83051780880122,337.8340462519083
18,71.6709281056204,334.9583083535395
19,2.450368524405782,348.30740497400205
20,41.39760352119676,337.4330169804949
21,86.18508000506192,329.56805632155755
22,70.06778698162628,331.5146180829762
23,76.82530602383693,344.275015547261
24,59.03773856261379,328.9035706426019
25,59.976295080301064,331.4740995804756
26,89.38066711649353,326.8504694850749
27,22.98976734931989,337.8012958020479
28,5.31032911821637,348.03160831256724
29,29.010373769169345,337.8340462519083
30,6.314163163921513,340.55125398383313
31,137.31188698984656,323.6266907581862
32,12.567927366521392,350.5567735166293
33,53.846584275492035,329.9588405286387
34,99.50236762322912,328.858727739611
35,103.19057565006848,324.1365429451676
36,139.75195871913968,325.03631987274684
37,84.13890697887858,326.9040870632042
38,131.7265441306586,323.48064027384453
39,7.571964286078019,341.26238270808744
40,42.06212845784606,333.2663708360346
41,28.606453451033342,337.8023615800426
42,10.559033073182418,347.741059567364
43,6.0002421124054575,351.50009932915214
44,43.39407188279187,334.75543612932233
45,61.74880051901133,330.1243523485485
46,4.098447432243634,348.3267612811213
47,133.57637534046827,323.99800948728046
48,72.99827508168462,331.1072820355433
49,95.28262510153041,325.90671730664036
50,124.93432676662052,325.0954786386572
51,30.79768595362134,334.59324536333696
52,49.81312846330785,330.717039017076
53,27.98874029438124,337.79477757797486
54,82.34898143015982,324.7897509824065
55,63.220868614057885,329.70175510542396
56,134.22071507720912,323.3087342728051
57,39.83834888365681,333.3926963819245
58,100.0904985631017,322.58670407807006
59,130.69005297338197,324.8307095140784
