ID,Name,Origin,Width,Length,Thickness,Material,Type,Electrical
1,Baseplate1,"0,0",44,38,1,copper,p,F
2,Bottom_Metal1,"5,5",34,28,0.2,copper,p,G
3,Ceramic1,"5,5",34,28,0.64,Al_N,p,D
4,I1,"5,5",34,28,0.2,copper,p,S
5,C1,,34,28,0.38,None,a,C
6,I2,"5,5",34,28,0.2,copper,p,S
7,Ceramic2,"5,5",34,28,0.64,Al_N,p,D
8,Bottom_Metal2,"5,5",34,28,0.2,copper,p,G
9,Baseplate2,"0,0",44,38,1,copper,p,F
