name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Arlon TC600 (tm),,,,,,,,6.15,,Arlon TC600 (tm),,,,Conductor,
Asbestos-Typical,,,,,,,,,,Asbestos-Typical,,,,Conductor,
Au-Typical,,,,,,,,,,Au-Typical,,,,Conductor,
Au-Typical_Ref,,,,,,,,,,Au-Typical_Ref,,,,Conductor,
BT_systems,,,,,,,,3.9,,BT_systems,,,,Conductor,
Bakelite-JSME,,,,,,,,,,Bakelite-JSME,,,,Conductor,
Be_O,248,,1024,,2850,,,6.8,,Be_O,,0.38,6.40E-06,Conductor,
Benzene,,,,,,,,,,Benzene,,,,Conductor,
Bismuth-Telluride,,,,,,,,,,Bismuth-Telluride,,,,Conductor,
Carbon Dioxide,,,,,,,,,,Carbon Dioxide,,,,Conductor,
Carbon Dioxide(@300K),,,,,,,,,,Carbon Dioxide(@300K),,,,Conductor,
Carbon Monoxide,,,,,,,,,,Carbon Monoxide,,,,Conductor,
Ceramic5,,,,,,,,,,Ceramic5,,,,Insulator,
Ceramic8D,,,,,,,,,,Ceramic8D,,,,Conductor,
Ceramic_material,,,,,,,,,,Ceramic_material,,,,Insulator,
Chlorine,,,,,,,,,,Chlorine,,,,Conductor,
Cu-Aluminised,,,,,,,,,,Cu-Aluminised,,,,Conductor,
Cu-Brass,,,,,,,,,,Cu-Brass,,,,Conductor,
Cu-Brass(Die-Cast),,,,,,,,,,Cu-Brass(Die-Cast),,,,Conductor,
Cu-Brass(Moldformed),,,,,,,,,,Cu-Brass(Moldformed),,,,Conductor,
Cu-Brass-30%Zn,,,,,,,,,,Cu-Brass-30%Zn,,,,Conductor,
Cu-Bronze,,,,,,,,,,Cu-Bronze,,,,Conductor,
Cu-Constantan,,,,,,,,,,Cu-Constantan,,,,Conductor,
Cu-German,,,,,,,,,,Cu-German,,,,Conductor,
Cu-Pure,,,,,,,,,,Cu-Pure,,,,Conductor,
Cu-Pure_Ref,,,,,,,,,,Cu-Pure_Ref,,,,Conductor,
Diamond-IIa,,,,,,,,,,Diamond-IIa,,,,Conductor,
Die_attach_material,,,,,,,,,,Die_attach_material,,,,Conductor,
Dupont Type 100 HN Film (tm),,,,,,,,3.5,,Dupont Type 100 HN Film (tm),,,,Conductor,
Duroid (tm),,,,,,,,2.2,,Duroid (tm),,,,Conductor,
Epoxy Resin-JSME,,,,,,,,,,Epoxy Resin-JSME,,,,Conductor,
Epoxy Resin-Typical,,,,,,,,,,Epoxy Resin-Typical,,,,Conductor,
Epoxy-glass fiber,,,,,,,,,,Epoxy-glass fiber,,,,Conductor,
Epoxy-hysol 6000,,,,,,,,,,Epoxy-hysol 6000,,,,Conductor,
Epoxy-silica filled,,,,,,,,,,Epoxy-silica filled,,,,Conductor,
Epoxy-unfilled,,,,,,,,,,Epoxy-unfilled,,,,Conductor,
Erythritol,0.733,0.326,1380,2760,1480,1300,,,,Erythritol,,,,PCM,121
FC-3283(@25degC),,,,,,,,,,FC-3283(@25degC),,,,Conductor,
