name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Teflon (tm),0.25,,1400,,2250,,,2.1,,Teflon (tm),496000000,0.3,1.35E-06,Conductor,
Ti-Typical,,,,,,,,,,Ti-Typical,,,,Conductor,
Ti-Typical_Ref,,,,,,,,,,Ti-Typical_Ref,,,,Conductor,
Water,,,,,,,,,,Water,,,,Conductor,
Water Vapor,,,,,,,,,,Water Vapor,,,,Conductor,
Water Vapor(@373K),,,,,,,,,,Water Vapor(@373K),,,,Conductor,
Water(@280K),,,,,,,,,,Water(@280K),,,,Conductor,
Water(@320K),,,,,,,,,,Water(@320K),,,,Conductor,
Water(@360K),,,,,,,,,,Water(@360K),,,,Conductor,
Xylitol,0.373,0.433,1330,2360,1500,1350,,,,Xylitol,,,,PCM,94
ZEONEX RS420 (tm),,,,,,,,,,ZEONEX RS420 (tm),,,,Conductor,
ZEONEX RS420-LDS (tm),,,,,,,,,,ZEONEX RS420-LDS (tm),,,,Conductor,
Zn-Al-Cu-alloy,,,,,,,,,,Zn-Al-Cu-alloy,,,,Conductor,
Zn-Al-alloy,,,,,,,,,,Zn-Al-alloy,,,,Conductor,
Zn-ferrite,,,,,,,,,,Zn-ferrite,,,,Conductor,
Zn-oxide,,,,,,,,,,Zn-oxide,,,,Conductor,
Zn-typical,,,,,,,,,,Zn-typical,,,,Conductor,
alumina_92pct,26,,790,,3720,,,9.2,,alumina_92pct,2.67E+11,0.26,7.20E-06,Conductor,
alumina_96pct,25,,880,,3800,,,9.4,,alumina_96pct,3.03E+11,0.21,6.40E-06,Conductor,
aluminum,,,,,,,,,,aluminum,,,,Conductor,
aluminum_EC,237.5,,,,,,2.78E-08,,1.000021,aluminum_EC,,,,Conductor,
aluminum_no2_EC,237.5,,,,,,3.03E-08,,1.000021,aluminum_no2_EC,,,,Conductor,
bakelite,1.4,,820,,1300,,1000000000,4.8,,bakelite,,,4.50E-05,Conductor,
benzocyclobuten,0.29,,1247,,1130,,,2.6,,benzocyclobuten,,,,Conductor,
beryllium,190,,1824,,1848,,4.00E-08,,1.00000079,beryllium,3.00E+11,0.03,9.20E-06,,
brass,111,,162,,8600,,6.67E-08,,,brass,1.00E+11,0.34,3.39E-05,,
bronze,64,,420,,8890,,1.00E-07,,,bronze,1.17E+11,0.31,1.40E-05,,
cast_iron,83,,165,,7200,,6.67E-07,,60,cast_iron,1.65E+11,0.27,1.20E-05,Conductor,
chromium,94,,421,,7180,,1.32E-07,,,chromium,1.10E+11,0.31,2.91E-05,,
cobalt,100,,421,,8862,,1.00E-07,,250,cobalt,2.06E+11,0.32,2.66E-05,Conductor,
copper,400,,385,,8933,,1.72E-08,,0.999991,copper,1.20E+11,0.38,1.77E-05,Conductor,
corning_glass,,,,,,,,5.75,,corning_glass,,,,Conductor,
cyanate_ester,,,,,,,,3.8,,cyanate_ester,,,,Conductor,
diamond,2000,,472,,3510,,,16.5,,diamond,1.14E+12,0.2,1.18E-06,Conductor,
diamond_hi_pres,2000,,518,,3200,,,5.7,,diamond_hi_pres,9.00E+11,0.2,1.18E-06,Conductor,
diamond_pl_cvd,2000,,472,,3200,,,3.5,,diamond_pl_cvd,9.00E+11,0.2,1.18E-06,Conductor,
eGRAF_HITHERM_SRS_1200,,,,,,,,,,eGRAF_HITHERM_SRS_1200,,,,Conductor,
eGRAF_HITHERM_SRS_700,,,,,,,,,,eGRAF_HITHERM_SRS_700,,,,Conductor,
eGRAF_HS_400,,,,,,,,,,eGRAF_HS_400,,,,Conductor,
eGRAF_SPREAD_SS300,,,,,,,,,,eGRAF_SPREAD_SS300,,,,Conductor,
eGRAF_SPREAD_SS400,,,,,,,,,,eGRAF_SPREAD_SS400,,,,Conductor,
eGRAF_SPREAD_SS500,,,,,,,,,,eGRAF_SPREAD_SS500,,,,Conductor,
epoxy_Kevlar_xy,,,,,,,,,,epoxy_Kevlar_xy,,,,Conductor,
ferrite,4,,750,,4600,,100,12,1000,ferrite,1.19E+11,,1.00E-05,Conductor,
gallium_arsenide,46,,350,,5320,,,12.9,,gallium_arsenide,85500000000,0.31,6.86E-06,Conductor,
glass,,,,,,,,,,glass,,,,Conductor,
glass_PTFEreinf,,,,,,,,2.5,,glass_PTFEreinf,,,,Conductor,
gold,315,,129,,19300,,2.44E-08,,0.99996,gold,80000000000,0.4,1.40E-05,Conductor,
graphite,24,,709,,2250,,1.43E-05,,,graphite,4800000000,,2.00E-06,Conductor,
h2o,,,,,,,,,,h2o,,,,Conductor,
h2o(@373K),,,,,,,,,,h2o(@373K),,,,Conductor,
indium,,,,,,,,,,indium,,,,Conductor,
iron,79,,447,,7870,,9.71E-08,,4000,iron,1.95E+11,0.28,1.20E-05,Conductor,
lead,35,,129,,11336,,2.00E-07,,0.999983,lead,14000000000,0.45,2.85E-05,Conductor,
magnesium,,,,,,,,,,magnesium,,,,Conductor,
marble,3,,880,,2700,,,8.3,,marble,70000000000,0.1,1.20E-05,Conductor,
mica,0.34,,500,,2500,,,5.7,,mica,34500000000,0.205,1.05E-05,Conductor,
modified_epoxy,,,,,,,,4.2,,modified_epoxy,,,,Conductor,
molybdenum,,,,,,,,,,molybdenum,,,,Conductor,
mu_metal,0,,,,,,,,,mu_metal,,,,Conductor,
nickel,90,,444,,8900,,6.90E-08,,600,nickel,2.10E+11,0.35,1.30E-05,,
palladium,73,,244,,12020,,1.08E-07,,1.00082,palladium,1.20E+11,0.39,1.18E-05,Conductor,
pec,,,,,,,1.00E-30,,,pec,,,,,
perfect conductor,,,,,,,1.00E-30,,,perfect conductor,,,,,
platinum,72,,133,,21450,,1.08E-07,,,platinum,1.60E+11,0.36,8.99E-06,,
plexiglass,0.26,,,,,,,3.4,,plexiglass,,,,,
polyamide,0.26,,,,,,,4.3,,polyamide,,,,Conductor,
polyester,,,,,,,,3.2,,polyester,,,,Conductor,
polyethylene,,,,,,,,,,polyethylene,,,,,
polyimide,0.25,,1150,,1400,,,3.5,,polyimide,7500000000,0.35,7.00E-05,Conductor,
polyimideQuartz,,,,,,,,4,,polyimideQuartz,,,,Conductor,
polystyrene,0.14,,,,,,1.00E+16,2.6,,polystyrene,,,,Conductor,
porcelain,,,,,,,,,,porcelain,,,,Conductor,
quartz_glass,1.4,,750,,2500,,,3.78,,quartz_glass,60000000000,0.25,8.00E-06,Conductor,
rhodium,,,,,,,,,,rhodium,,,,Conductor,
rubber_hard,0.16,,1,,1190,,1.00E+15,3,,rubber_hard,,,,Conductor,
sapphire,23.1,,,,,,,10,,sapphire,,,,Conductor,
silicon,148,,712,,2330,,,11.9,,silicon,1.35E+11,0.25,2.54E-06,Conductor,
silicon_dioxide,1.5,,745,,2220,,,4,,silicon_dioxide,,,4.50E-06,Conductor,
silicon_nitrate,16,,691,,2400,,,7,,silicon_nitrate,,,2.70E-06,Conductor,
silver,429,,235,,10500,,1.64E-08,,0.99998,silver,77000000000,0.37,1.89E-05,Conductor,
solder,50.9,,167,,8300,,1.43E-07,,,solder,69000000000,0.4,1.59E-06,,
steel_1008,45,,481,,7872,,,,,steel_1008,2.00E+11,0.25,1.26E-05,Conductor,
steel_1010,45,,448,,7872,,,,,steel_1010,2.05E+11,0.28,1.22E-05,Conductor,
steel_stainless,13.8,,480,,8055,,9.09E-07,,,steel_stainless,1.95E+11,0.3,1.08E-05,,
tantalum,,,,,,,1.59E-07,,,tantalum,,,,Conductor,
teflon_based,0.35,,1050,,2200,,,2.08,,teflon_based,,,0.00016,Conductor,
tin,,,,,,,,,,tin,,,,,
titanium,21,,522,,4500,,5.49E-07,,1.00018,titanium,1.15E+11,0.33,8.30E-06,,
tungsten,174,,132,,19300,,5.49E-08,,,tungsten,3.75E+11,0.3,4.60E-06,,
vacuum,,,,,,,,1,,vacuum,,,,vacuum,
water_distilled,0.61,,,,,,5000,81,0.999991,water_distilled,,,,Conductor,
water_fresh,,,,,,,,,,water_fresh,,,,Conductor,
water_sea,0.61,,,,,,0.25,81,0.999991,water_sea,,,,Conductor,
zirconium,,,,,,,,,,zirconium,,,,Conductor,
