ID,Name,Origin,Width,Length,Thickness,Material,Type,Electrical
1,Baseplate,"0,0",56,53,5,copper,p,F
2,Bottom_Metal,"5,5",46,43,0.2,copper,p,G
3,Ceramic1,"5,5",46,43,0.64,Al_N,p,D
4,I1,"5,5",46,43,0.2,copper,p,S
5,C1,,46,43,0.18,SiC,a,C
