ID,Name,Origin,Width,Length,Thickness,Material,Type,Electrical
1,Baseplate,"0,0",55,60,1,copper,p,F
2,Bottom_Metal,"5,5",45,50,0.2,copper,p,G
3,Ceramic1,"5,5",45,50,0.835,Al_N,p,D
4,I1,"5,5",45,50,0.2,copper,p,S
5,C1,,45,50,0.18,None,a,C
